1,1,75997
1,2,81311
1,3,77798
1,4,81485
1,5,86553
1,6,81280
1,7,90419
1,8,88038
1,9,85213
1,10,80670
1,11,74252
1,12,79970
1,13,86440
1,14,83320
1,15,86850
1,16,81597
1,17,85941
1,18,75623
1,19,85253
1,20,83422
1,21,83076
1,22,73298
1,23,81700
1,24,83513
1,25,84385
1,26,86261
1,27,77494
1,28,80331
1,29,78141
1,30,77703
1,31,79984
2,1,84685
2,2,77072
2,3,84296
2,4,80329
2,5,83917
2,6,80679
2,7,78573
2,8,79876
2,9,83791
2,10,83846
2,11,82906
2,12,75171
2,13,80791
2,14,76895
2,15,82847
2,16,81758
2,17,86027
2,18,80410
2,19,83497
2,20,78155
2,21,82479
2,22,77763
2,23,76495
2,24,84557
2,25,82150
2,26,76767
2,27,84381
2,28,79828
3,1,87245
3,2,88400
3,3,79330
3,4,79854
3,5,81918
3,6,82862
3,7,83286
3,8,92345
3,9,87960
3,10,85426
3,11,89395
3,12,87969
3,13,87385
3,14,84009
3,15,84110
3,16,82388
3,17,84130
3,18,90640
3,19,86643
3,20,85598
3,21,83447
3,22,85719
3,23,90610
3,24,79046
3,25,87136
3,26,87990
3,27,83984
3,28,85156
3,29,90032
3,30,84932
3,31,85772
4,1,95150
4,2,93501
4,3,93993
4,4,82641
4,5,86792
4,6,95111
4,7,88559
4,8,87585
4,9,91538
4,10,95609
4,11,99251
4,12,92816
4,13,86813
4,14,92450
4,15,100161
4,16,92897
4,17,89040
4,18,94904
4,19,99789
4,20,91772
4,21,98033
4,22,92488
4,23,100339
4,24,100028
4,25,95004
4,26,100695
4,27,92497
4,28,98038
4,29,107353
4,30,90922
5,1,107955
5,2,90894
5,3,101227
5,4,103332
5,5,101457
5,6,101779
5,7,98511
5,8,102850
5,9,103733
5,10,105913
5,11,102748
5,12,101773
5,13,100886
5,14,109463
5,15,97462
5,16,100143
5,17,103771
5,18,109530
5,19,104238
5,20,109760
5,21,108977
5,22,108675
5,23,107155
5,24,109636
5,25,114656
5,26,106744
5,27,104192
5,28,109006
5,29,100708
5,30,103148
5,31,109071
6,1,102776
6,2,112953
6,3,101442
6,4,108807
6,5,102100
6,6,102463
6,7,110207
6,8,106047
6,9,111360
6,10,101951
6,11,113651
6,12,110529
6,13,115326
6,14,111798
6,15,106278
6,16,116632
6,17,114586
6,18,123915
6,19,124631
6,20,104076
6,21,110159
6,22,111893
6,23,111089
6,24,110313
6,25,113468
6,26,119398
6,27,122993
6,28,113616
6,29,115537
6,30,110294
7,1,118170
7,2,115187
7,3,115212
7,4,121284
7,5,119191
7,6,123687
7,7,113937
7,8,116358
7,9,119779
7,10,122384
7,11,124382
7,12,115944
7,13,118648
7,14,122336
7,15,120067
7,16,121091
7,17,126566
7,18,120948
7,19,120993
7,20,120584
7,21,124311
7,22,112215
7,23,116751
7,24,114543
7,25,122675
7,26,114449
7,27,120996
7,28,115059
7,29,119574
7,30,117575
7,31,111232
8,1,123737
8,2,116889
8,3,128834
8,4,120883
8,5,121040
8,6,123417
8,7,119939
8,8,124931
8,9,122448
8,10,112592
8,11,115565
8,12,120280
8,13,135789
8,14,121566
8,15,119527
8,16,119318
8,17,116674
8,18,119134
8,19,115757
8,20,114725
8,21,126755
8,22,118189
8,23,115323
8,24,121234
8,25,114266
8,26,120949
8,27,118751
8,28,120117
8,29,120567
8,30,116716
8,31,116296
9,1,116478
9,2,122027
9,3,118675
9,4,115908
9,5,116185
9,6,117155
9,7,115300
9,8,118547
9,9,116755
9,10,119277
9,11,117681
9,12,116964
9,13,116766
9,14,108702
9,15,109372
9,16,117714
9,17,116724
9,18,117625
9,19,118014
9,20,111459
9,21,110593
9,22,112597
9,23,103299
9,24,116912
9,25,112871
9,26,112114
9,27,108345
9,28,113050
9,29,116165
9,30,113205
10,1,120360
10,2,118914
10,3,112506
10,4,107637
10,5,108609
10,6,111720
10,7,106117
10,8,108403
10,9,105473
10,10,101472
10,11,110570
10,12,106154
10,13,106140
10,14,105224
10,15,110381
10,16,102228
10,17,102811
10,18,103733
10,19,106201
10,20,103734
10,21,99697
10,22,102631
10,23,107400
10,24,95753
10,25,103321
10,26,96441
10,27,94477
10,28,102839
10,29,97477
10,30,99068
10,31,105410
11,1,101689
11,2,109944
11,3,103399
11,4,99720
11,5,98082
11,6,97269
11,7,100107
11,8,94966
11,9,104961
11,10,96019
11,11,93076
11,12,85823
11,13,100940
11,14,94048
11,15,99722
11,16,99343
11,17,96200
11,18,99020
11,19,98151
11,20,94999
11,21,102158
11,22,90237
11,23,100788
11,24,90629
11,25,93730
11,26,98156
11,27,94608
11,28,88967
11,29,80120
11,30,88216
12,1,93320
12,2,100740
12,3,90836
12,4,86418
12,5,88166
12,6,78661
12,7,79007
12,8,87587
12,9,82757
12,10,83478
12,11,80676
12,12,85075
12,13,87223
12,14,83668
12,15,91628
12,16,80636
12,17,85101
12,18,84216
12,19,86367
12,20,88121
12,21,89150
12,22,83320
12,23,83225
12,24,82288
12,25,85764
12,26,88012
12,27,91014
12,28,74810
12,29,79746
12,30,86235
12,31,82473
